Australian Road Deaths Database: Fatalities,,,,,,,,,,,,,,,,,,,
(Data current to February 2026),,,,,,,,,,,,,,,,,,,
Note: A value of '-9' is used for a missing/unknown value.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas 2021,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period
4199801190006,SA,1,1998,Monday,13:30:00,Single,No,-9,No,60,Driver,Male,85,Unknown,Unknown,Unknown,Unknown,No,No
3201106300103,QLD,6,2011,Thursday,08:00:00,Single,No,No,Yes,60,Driver,Male,49,Unknown,Unknown,Unknown,Unknown,No,No
4200108070082,SA,8,2001,Tuesday,06:50:00,Multiple,No,-9,No,100,Driver,Male,26,Unknown,Unknown,Unknown,Unknown,No,No
2199408290246,VIC,8,1994,Monday,14:20:00,Multiple,No,No,Yes,100,Driver,Male,25,Unknown,Unknown,Unknown,Unknown,No,No
8336381972794104694,WA,7,2025,Friday,06:00:00,Multiple,No,Yes,No,80,Driver,Male,40,Major Cities of Australia,Perth - North West,Wanneroo,Arterial Road,No,No
2199311020319,VIC,11,1993,Tuesday,08:35:00,Single,No,No,No,60,Passenger,Male,21,Unknown,Unknown,Unknown,Unknown,No,No
2200110150309,VIC,10,2001,Monday,14:00:00,Multiple,No,No,Yes,60,Passenger,Male,18,Unknown,Unknown,Unknown,Unknown,No,No
5199701070003,WA,1,1997,Tuesday,17:10:00,Single,No,-9,No,90,Driver,Male,48,Unknown,Unknown,Unknown,Unknown,No,No
8350495018372467982,NSW,4,2025,Friday,05:00:00,Single,No,No,No,100,Driver,Male,51,Outer Regional Australia,Capital Region,Hilltops,Sub-arterial Road,No,No
1200808280221,NSW,8,2008,Thursday,23:55:00,Single,No,No,No,60,Passenger,Male,31,Unknown,Unknown,Unknown,Unknown,No,No
1199210180461,NSW,10,1992,Sunday,05:00:00,Single,No,-9,No,80,Passenger,Male,19,Unknown,Unknown,Unknown,Unknown,No,No
4200806100035,SA,6,2008,Tuesday,20:50:00,Single,No,No,No,100,Driver,Male,21,Unknown,Unknown,Unknown,Unknown,No,No
3201404100051,QLD,4,2014,Thursday,14:00:00,Multiple,No,No,No,100,Passenger,Male,62,Unknown,Unknown,Unknown,Unknown,No,No
5201510190112,WA,10,2015,Monday,00:50:00,Multiple,No,No,No,70,Passenger,Male,20,Unknown,Unknown,Unknown,Unknown,No,No
